case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
"1,040",1,1,35-39 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,Parents/ Parents-in-law,,,,0.00,256.55,21.35,7.12,0.00,0.00,285.02
"1,041",1,1,35-39 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,16.00,FIT,Male,married,Alone,,,,,,0.00,156.55,35.58,0.00,0.00,0.00,192.13
"1,052",1,1,35-39 yrs,Indonesia,No,15,Air,Jetstar Asia Airways (JSA),General business purpose,Business,Business,Multi-Destination,No,Yes,3.00,FIT,Male,single,Alone,,,,,,569.30,356.55,177.91,88.95,0.00,0.00,"1,192.71"
"1,068",1,1,55-59 yrs,Indonesia,No,30,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,7.00,FIT,Male,married,Alone,,,,,,0.00,"2,156.55",177.91,106.74,0.00,0.00,"2,441.20"
"1,069",1,1,40-44 yrs,Indonesia,No,1,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,88.95,156.55,88.95,29.65,0.00,0.00,364.11
"1,077",1,1,40-44 yrs,Indonesia,No,3,Air,Singapore Airlines Limited (SIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,5.00,FIT,Female,married,Spouse,Children aged 13-19 yrs,,,,,195.70,306.55,177.91,35.58,500.00,0.00,"1,215.73"
"1,097",1,1,20-24 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,3.00,FIT,Female,single,Parents/ Parents-in-law,,,,,,0.00,196.55,71.16,35.58,550.00,0.00,853.30
"1,129",1,1,40-44 yrs,Indonesia,No,6,Air,AirAsia Berhad (AXM),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,2.00,FIT,Male,single,Alone,,,,,,889.26,156.55,355.81,44.48,0.00,0.00,"1,446.10"
"1,134",1,1,60-64 yrs,Indonesia,No,4,Air,Garuda Indonesia (GIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Male,married,Spouse,,,,,,269.74,206.55,177.91,177.91,300.00,0.00,"1,132.10"
"1,158",1,1,40-44 yrs,Indonesia,No,5,Air,Singapore Airlines Limited (SIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,Siblings,,,370.04,"1,323.22",97.85,53.37,0.00,0.00,"1,844.48"
"1,159",1,1,40-44 yrs,Indonesia,No,15,Air,Indonesia AirAsia (AWQ),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,177.91,156.55,66.71,22.24,"1,000.00",0.00,"1,423.41"
"1,183",1,1,35-39 yrs,Indonesia,No,10,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,355.81,856.55,35.58,0.00,0.00,0.00,"1,247.94"
"1,205",1,1,15-19 yrs,Indonesia,No,3,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,311.33,826.55,133.43,11.12,0.00,0.00,"1,282.43"
"1,219",1,1,40-44 yrs,Indonesia,No,4,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Alone,,,,,,889.53,925.55,177.91,59.30,0.00,0.00,"2,052.29"
"1,220",1,1,45-49 yrs,Indonesia,No,12,Air,United Airlines Inc (UAL),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,F&E,Female,married,Children aged 13-19 yrs,,,,,,89.60,"1,781.55",177.91,71.16,0.00,0.00,"2,120.22"
"1,252",1,1,60-64 yrs,Indonesia,No,4,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,1.00,FIT,Male,married,Other relatives,,,,,,213.49,256.55,88.95,15.57,"1,500.00",0.00,"2,074.56"
"1,272",1,1,50-54 yrs,Indonesia,Yes,,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,711.62,315.55,0.00,0.00,0.00,0.00,"1,027.17"
"1,283",1,1,55-59 yrs,Indonesia,No,1,Air,Garuda Indonesia (GIA),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,355.81,456.55,177.91,88.95,360.00,0.00,"1,439.22"
"1,301",1,1,55-59 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,day tripper,FIT,Male,married,Business associates/ Colleagues,,,,,,0.00,916.55,88.95,44.48,0.00,0.00,"1,049.98"
"1,307",1,1,25-29 yrs,Indonesia,No,10,Air,AirAsia Berhad (AXM),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,single,Alone,,,,,,"1,067.43","1,656.55",533.72,0.00,0.00,0.00,"3,257.70"
"1,308",1,1,45-49 yrs,Indonesia,No,9,Air,AirAsia Berhad (AXM),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,2.00,FIT,Male,married,Siblings,,,,,,266.86,156.55,266.86,44.48,"7,000.00",0.00,"7,734.74"
"1,315",1,1,30-34 yrs,Indonesia,No,5,Air,Thai Airways International Public Co Ltd (THA),General business purpose,Business,Business,Multi-Destination,Yes,Yes,4.00,FIT,Male,single,Alone,,,,,,889.53,456.55,177.91,35.58,0.00,0.00,"1,559.56"
"1,337",1,1,30-34 yrs,Indonesia,No,5,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Alone,,,,,,0.00,156.55,7.83,4.70,0.00,0.00,169.07
"1,342",1,1,35-39 yrs,Indonesia,No,1,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,day tripper,FIT,Male,single,Friends,,,,,,0.00,156.55,3.13,4.70,0.00,0.00,164.38
"1,343",1,1,15-19 yrs,Indonesia,No,60,Sea,,Gathering informations on the Education services in Singapor,Leisure,Leisure,Mono-SIN,No,No,10.00,FIT,Male,single,Friends,,,,,,0.00,266.55,31.30,12.52,0.00,0.00,310.38
"1,348",1,1,30-34 yrs,Indonesia,No,15,Air,Batavia Air (BTV),Outpatient consultation/treatment,Healthcare,Healthcare,Multi-Destination,No,Yes,2.00,FIT,Female,married,Spouse,,,,,,177.91,156.55,26.69,13.34,200.00,0.00,574.49
"1,349",1,1,30-34 yrs,Indonesia,No,6,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Female,married,Spouse,Children aged 0-7 yrs,,,,,166.04,156.55,59.30,35.58,0.00,0.00,417.48
"1,350",1,1,15-19 yrs,Indonesia,No,6,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,27.00,FIT,Female,single,Other relatives,,,,,,0.00,156.55,0.00,2.32,0.00,0.00,158.87
"1,355",1,1,45-49 yrs,Indonesia,No,18,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Female,married,Other relatives,,,,,,0.00,156.55,0.00,4.70,0.00,0.00,161.25
"1,357",1,1,20-24 yrs,Indonesia,No,2,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,8.00,FIT,Male,single,Siblings,,,,,,0.00,656.55,62.61,15.65,0.00,0.00,734.81
